Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21
"(988, 783, 1.227270018944182e-07)","(893, 778, -0.0347517766058445)","(810, 735, -0.060930415987968445)","(756, 690, -0.08488021790981293)","(725, 635, -0.1092146709561348)","(873, 616, -0.05122751370072365)","(858, 526, -0.08367335796356201)","(843, 485, -0.10730578005313873)","(826, 450, -0.12288691848516464)","(942, 603, -0.055433109402656555)","(936, 503, -0.08214907348155975)","(923, 452, -0.10179578512907028)","(910, 409, -0.11701366305351257)","(1011, 615, -0.06359271705150604)","(1016, 519, -0.09226331859827042)","(1007, 466, -0.10801948606967926)","(995, 421, -0.1182752475142479)","(1077, 643, -0.07416615635156631)","(1107, 559, -0.10010870546102524)","(1124, 509, -0.11123930662870407)","(1133, 462, -0.11822149157524109)"
"(1010, 751, 6.32790261079208e-07)","(899, 687, -0.019280262291431427)","(822, 621, -0.028109226375818253)","(779, 559, -0.03773646056652069)","(757, 503, -0.046496398746967316)","(902, 497, 0.005208330228924751)","(891, 404, -0.01163353119045496)","(886, 344, -0.03163082152605057)","(883, 289, -0.047493722289800644)","(966, 484, -0.002209379803389311)","(961, 383, -0.014827044680714607)","(958, 317, -0.033344678580760956)","(956, 255, -0.048058655112981796)","(1028, 492, -0.014960499480366707)","(1028, 392, -0.03324045613408089)","(1030, 327, -0.04786724969744682)","(1030, 269, -0.058206845074892044)","(1092, 521, -0.030015936121344566)","(1115, 445, -0.04831129312515259)","(1130, 393, -0.055022288113832474)","(1141, 343, -0.058779846876859665)"
"(1004, 677, 5.436224910226883e-07)","(902, 627, -0.018933823332190514)","(824, 558, -0.0267338864505291)","(786, 493, -0.035217590630054474)","(764, 440, -0.043166156858205795)","(908, 441, -0.00025696586817502975)","(896, 347, -0.016036098822951317)","(892, 290, -0.03290553018450737)","(893, 239, -0.04623723775148392)","(969, 430, -0.007452745456248522)","(961, 325, -0.019646402448415756)","(960, 261, -0.035387057811021805)","(961, 203, -0.04787052795290947)","(1027, 438, -0.01951957494020462)","(1029, 336, -0.03691175580024719)","(1030, 275, -0.04938191920518875)","(1030, 218, -0.0583050474524498)","(1088, 466, -0.03393910452723503)","(1113, 392, -0.05096757039427757)","(1127, 344, -0.05736914277076721)","(1136, 296, -0.0612771213054657)"
"(997, 646, 4.672959335039195e-07)","(899, 600, -0.022080421447753906)","(825, 530, -0.03143683075904846)","(788, 462, -0.04027355834841728)","(769, 408, -0.047984734177589417)","(902, 416, -0.0057913861237466335)","(891, 324, -0.021675053983926773)","(890, 269, -0.037508849054574966)","(892, 219, -0.05017310380935669)","(963, 405, -0.010293645784258842)","(956, 303, -0.02249629981815815)","(956, 240, -0.037385281175374985)","(958, 185, -0.04953233525156975)","(1021, 414, -0.019539549946784973)","(1022, 315, -0.036844659596681595)","(1021, 253, -0.05072330683469772)","(1019, 197, -0.06095777451992035)","(1080, 440, -0.031148366630077362)","(1104, 369, -0.049424801021814346)","(1118, 322, -0.05835292115807533)","(1128, 278, -0.0642290934920311)"
"(990, 632, 4.4401699028639996e-07)","(894, 587, -0.022581500932574272)","(822, 520, -0.03167642280459404)","(785, 453, -0.04018830135464668)","(770, 397, -0.04745154827833176)","(901, 405, -0.004404667764902115)","(890, 314, -0.019770311191678047)","(887, 259, -0.03561462461948395)","(889, 209, -0.04848175495862961)","(961, 394, -0.008628049865365028)","(955, 294, -0.020248979330062866)","(955, 232, -0.03470864146947861)","(956, 176, -0.04652681574225426)","(1018, 404, -0.017811842262744904)","(1018, 305, -0.0346401147544384)","(1018, 244, -0.047562360763549805)","(1017, 190, -0.05718265846371651)","(1076, 431, -0.02947540581226349)","(1100, 360, -0.04681519791483879)","(1114, 314, -0.054761938750743866)","(1123, 270, -0.06004667282104492)"
"(991, 633, 4.1706292108756315e-07)","(896, 590, -0.023936370387673378)","(823, 521, -0.033510833978652954)","(786, 453, -0.04218324273824692)","(769, 396, -0.04937465488910675)","(901, 405, -0.0058479695580899715)","(889, 314, -0.021157383918762207)","(885, 260, -0.036448728293180466)","(885, 210, -0.04902375862002373)","(961, 395, -0.010071209631860256)","(956, 295, -0.02233819290995598)","(955, 233, -0.03676653280854225)","(956, 177, -0.048550911247730255)","(1018, 404, -0.01944844238460064)","(1018, 308, -0.03724341094493866)","(1018, 247, -0.05076385661959648)","(1016, 192, -0.0607876218855381)","(1075, 431, -0.03138810396194458)","(1100, 360, -0.04943237453699112)","(1114, 314, -0.05804745852947235)","(1124, 270, -0.06402004510164261)"
"(987, 636, 4.2222563934046775e-07)","(894, 592, -0.0251559279859066)","(824, 524, -0.036090489476919174)","(788, 456, -0.045944470912218094)","(771, 398, -0.05427119880914688)","(902, 408, -0.008243327960371971)","(891, 318, -0.025172218680381775)","(888, 263, -0.04146768897771835)","(888, 213, -0.05461973696947098)","(963, 398, -0.01238838117569685)","(958, 299, -0.026073437184095383)","(958, 236, -0.04122013971209526)","(958, 180, -0.053432632237672806)","(1020, 408, -0.021721068769693375)","(1022, 313, -0.04074068367481232)","(1023, 251, -0.05421210452914238)","(1021, 196, -0.0640873908996582)","(1078, 436, -0.03366363048553467)","(1104, 367, -0.052513834089040756)","(1119, 321, -0.060993075370788574)","(1129, 278, -0.06675288081169128)"
"(979, 636, 4.3057639231847133e-07)","(888, 590, -0.025465985760092735)","(818, 522, -0.037354644387960434)","(782, 456, -0.04795774072408676)","(766, 399, -0.057326540350914)","(900, 407, -0.011618589051067829)","(888, 316, -0.02901674434542656)","(884, 261, -0.045559171587228775)","(885, 211, -0.05880529806017876)","(961, 398, -0.01588413305580616)","(957, 298, -0.02966512367129326)","(958, 235, -0.04529760777950287)","(959, 178, -0.05795576795935631)","(1019, 409, -0.025003915652632713)","(1021, 313, -0.04393867775797844)","(1023, 250, -0.05816996470093727)","(1024, 193, -0.06871059536933899)","(1075, 437, -0.036631643772125244)","(1101, 368, -0.05569005385041237)","(1118, 322, -0.0643487274646759)","(1130, 277, -0.07020105421543121)"
"(957, 631, 4.0318923311133403e-07)","(861, 586, -0.01833849772810936)","(790, 516, -0.025113921612501144)","(759, 448, -0.03180669993162155)","(737, 397, -0.037811145186424255)","(876, 403, -0.0011657783761620522)","(862, 312, -0.014039238914847374)","(859, 258, -0.028084198012948036)","(861, 211, -0.039725854992866516)","(937, 393, -0.007393845822662115)","(933, 291, -0.01621801033616066)","(933, 229, -0.029839694499969482)","(934, 175, -0.04159336909651756)","(994, 402, -0.0181115735322237)","(999, 304, -0.03197479620575905)","(1001, 243, -0.04508613795042038)","(1002, 190, -0.05559990182518959)","(1050, 428, -0.031068190932273865)","(1079, 360, -0.046151626855134964)","(1097, 315, -0.05411304906010628)","(1111, 272, -0.059999264776706696)"
"(904, 635, 4.4398817067303753e-07)","(799, 594, -0.018455158919095993)","(729, 523, -0.023717626929283142)","(700, 455, -0.028697608038783073)","(676, 408, -0.033022139221429825)","(817, 400, 0.0006304701091721654)","(805, 309, -0.00791140366345644)","(801, 253, -0.019581273198127747)","(798, 206, -0.029815563932061195)","(878, 389, -0.004970338195562363)","(876, 286, -0.009467601776123047)","(874, 224, -0.020678777247667313)","(873, 174, -0.030886689200997353)","(934, 399, -0.015049951151013374)","(941, 299, -0.024306248873472214)","(942, 238, -0.036796048283576965)","(941, 187, -0.04765522852540016)","(991, 427, -0.027611957862973213)","(1020, 355, -0.03938230127096176)","(1035, 310, -0.046990714967250824)","(1046, 269, -0.0530158132314682)"
"(823, 641, 4.7462310703849653e-07)","(732, 604, -0.024735547602176666)","(657, 544, -0.038472507148981094)","(615, 488, -0.05099010467529297)","(594, 442, -0.06312641501426697)","(727, 406, -0.020354067906737328)","(716, 316, -0.03922083601355553)","(706, 262, -0.056462496519088745)","(698, 217, -0.06930821388959885)","(785, 395, -0.025169776752591133)","(783, 290, -0.03972175344824791)","(776, 226, -0.05464901775121689)","(767, 175, -0.06630552560091019)","(843, 404, -0.03422226384282112)","(848, 301, -0.05139238014817238)","(847, 238, -0.06568282842636108)","(842, 187, -0.07619313895702362)","(901, 431, -0.0459037721157074)","(930, 355, -0.06252004951238632)","(943, 306, -0.07153160870075226)","(949, 264, -0.07758472859859467)"
"(737, 642, 3.42610348980088e-07)","(639, 609, -0.015835711732506752)","(569, 546, -0.025129644200205803)","(529, 493, -0.03587814047932625)","(496, 455, -0.04707859829068184)","(632, 410, -0.002977493219077587)","(605, 324, -0.02210090495646)","(582, 278, -0.04128297045826912)","(559, 244, -0.054672401398420334)","(681, 397, -0.013211600482463837)","(662, 293, -0.029300810769200325)","(641, 232, -0.04799770191311836)","(620, 182, -0.06169292330741882)","(733, 403, -0.02789408527314663)","(725, 301, -0.047285329550504684)","(712, 236, -0.06548754870891571)","(697, 181, -0.07839027047157288)","(789, 428, -0.04446137323975563)","(811, 352, -0.062459547072649)","(823, 300, -0.07281969487667084)","(830, 254, -0.07999806851148605)"
"(639, 648, 3.1875563877292734e-07)","(538, 625, -0.013794324360787868)","(464, 561, -0.01906576007604599)","(417, 508, -0.02587083913385868)","(376, 467, -0.03316296264529228)","(524, 400, 0.008000613190233707)","(491, 325, -0.0035677594132721424)","(467, 280, -0.019704004749655724)","(447, 241, -0.03275119885802269)","(577, 380, -0.0009525397908873856)","(557, 283, -0.007733526639640331)","(534, 226, -0.02106587588787079)","(511, 184, -0.03268278390169144)","(631, 381, -0.014709724113345146)","(633, 282, -0.024654369801282883)","(625, 224, -0.03695562481880188)","(608, 182, -0.047261204570531845)","(685, 403, -0.03097931109368801)","(708, 326, -0.04180515930056572)","(710, 277, -0.048831161111593246)","(701, 239, -0.05445714294910431)"
"(574, 647, 2.68301079131561e-07)","(464, 622, -0.01324374321848154)","(380, 562, -0.017412692308425903)","(329, 507, -0.02319275587797165)","(284, 468, -0.029644088819622993)","(437, 424, 0.008484111167490482)","(399, 344, -0.0013357368297874928)","(371, 298, -0.014677440747618675)","(346, 257, -0.0260782428085804)","(487, 403, -0.0002692253910936415)","(457, 302, -0.00673007033765316)","(431, 245, -0.019166909158229828)","(406, 198, -0.030584489926695824)","(538, 403, -0.013766770251095295)","(516, 304, -0.02412850223481655)","(491, 245, -0.03689536452293396)","(465, 198, -0.047904688864946365)","(593, 419, -0.029569312930107117)","(598, 340, -0.04043322429060936)","(596, 288, -0.04796561971306801)","(590, 243, -0.054735489189624786)"
"(509, 632, 3.178266752001946e-07)","(406, 608, -0.016027655452489853)","(326, 555, -0.022145358845591545)","(272, 505, -0.029228147119283676)","(230, 466, -0.03671590983867645)","(387, 421, 0.0019461256451904774)","(345, 347, -0.011285043321549892)","(315, 302, -0.025958288460969925)","(288, 261, -0.03812703117728233)","(433, 401, -0.005418149288743734)","(403, 304, -0.01723727025091648)","(373, 248, -0.03206276893615723)","(344, 199, -0.04398055374622345)","(479, 400, -0.017213014885783195)","(454, 305, -0.033676568418741226)","(426, 248, -0.04789622500538826)","(398, 197, -0.05828885734081268)","(529, 415, -0.03104308992624283)","(534, 336, -0.04730718955397606)","(531, 284, -0.05632979795336723)","(526, 234, -0.06291332840919495)"
"(464, 621, 2.976186408432113e-07)","(367, 600, -0.01817433163523674)","(290, 546, -0.025842074304819107)","(239, 495, -0.03389504924416542)","(197, 453, -0.041921865195035934)","(351, 410, -0.0006594570586457849)","(315, 337, -0.015455705113708973)","(285, 293, -0.031331293284893036)","(256, 254, -0.044564153999090195)","(395, 392, -0.00769187742844224)","(366, 298, -0.02168620005249977)","(337, 242, -0.03739607334136963)","(310, 194, -0.04984182491898537)","(440, 393, -0.01948467269539833)","(416, 298, -0.03826456144452095)","(388, 242, -0.053587641566991806)","(361, 192, -0.06455985456705093)","(487, 409, -0.033428046852350235)","(492, 332, -0.052110593765974045)","(492, 279, -0.0630565658211708)","(489, 229, -0.07091400027275085)"
"(452, 616, 2.4482764615640917e-07)","(355, 597, -0.01917325146496296)","(279, 542, -0.02721107378602028)","(228, 488, -0.035442035645246506)","(186, 448, -0.04338418319821358)","(339, 407, -0.0033420315012335777)","(302, 333, -0.017851220443844795)","(273, 289, -0.03374562785029411)","(247, 247, -0.047316018491983414)","(380, 388, -0.010062729008495808)","(347, 295, -0.023146890103816986)","(317, 239, -0.03836303949356079)","(289, 191, -0.05107489973306656)","(423, 388, -0.02135642059147358)","(399, 294, -0.03874547779560089)","(372, 238, -0.05396483466029167)","(345, 189, -0.06560836732387543)","(469, 404, -0.03505053371191025)","(476, 329, -0.05309009924530983)","(475, 277, -0.06456302851438522)","(471, 228, -0.0732283890247345)"
"(441, 613, 2.3271931581803074e-07)","(347, 593, -0.016594484448432922)","(274, 536, -0.02360789105296135)","(226, 483, -0.031393036246299744)","(184, 443, -0.03938562050461769)","(334, 403, -0.0018174579599872231)","(299, 327, -0.01574534922838211)","(270, 283, -0.03107740916311741)","(244, 240, -0.04425298795104027)","(376, 385, -0.010007825680077076)","(343, 290, -0.022786999121308327)","(311, 234, -0.03845568373799324)","(282, 186, -0.05149415135383606)","(418, 386, -0.022327706217765808)","(393, 289, -0.039094049483537674)","(364, 233, -0.054070670157670975)","(335, 185, -0.06580233573913574)","(463, 401, -0.03679686784744263)","(468, 326, -0.054313573986291885)","(467, 273, -0.06509062647819519)","(464, 224, -0.0733800157904625)"
"(435, 610, 1.977232244598781e-07)","(342, 589, -0.015000428073108196)","(270, 530, -0.020502932369709015)","(224, 475, -0.027204690501093864)","(185, 436, -0.034350067377090454)","(335, 401, 0.0002514482184778899)","(300, 325, -0.01294749416410923)","(271, 280, -0.027763603255152702)","(245, 237, -0.040641289204359055)","(375, 384, -0.008404110558331013)","(342, 288, -0.02068604715168476)","(310, 232, -0.03605394437909126)","(281, 184, -0.04888809844851494)","(417, 384, -0.02106229029595852)","(392, 287, -0.03718739375472069)","(364, 231, -0.05159112066030502)","(336, 182, -0.06291969865560532)","(460, 400, -0.03583160787820816)","(466, 324, -0.052528031170368195)","(466, 271, -0.06273750960826874)","(463, 222, -0.07073165476322174)"
"(438, 605, 1.8386231204203796e-07)","(344, 584, -0.014431341551244259)","(272, 526, -0.01965908892452717)","(226, 472, -0.026157356798648834)","(187, 432, -0.03287069499492645)","(337, 397, 0.0015882892766967416)","(302, 322, -0.010836360976099968)","(274, 277, -0.025191064924001694)","(248, 235, -0.03771151602268219)","(376, 379, -0.006897452287375927)","(344, 285, -0.018475566059350967)","(313, 229, -0.03317093849182129)","(283, 182, -0.045448191463947296)","(417, 380, -0.01940804347395897)","(393, 284, -0.03481784462928772)","(365, 229, -0.04876215010881424)","(338, 182, -0.05971648916602135)","(461, 396, -0.034013956785202026)","(469, 322, -0.050106752663850784)","(469, 270, -0.060113996267318726)","(465, 221, -0.06790108978748322)"
"(448, 607, 1.858401219578809e-07)","(353, 585, -0.015591043047606945)","(282, 527, -0.021615969017148018)","(236, 473, -0.028786689043045044)","(198, 432, -0.0362095944583416)","(347, 398, 0.0002840255037881434)","(313, 323, -0.013278291560709476)","(284, 277, -0.028425902128219604)","(259, 234, -0.041449613869190216)","(386, 381, -0.008285737596452236)","(356, 287, -0.02130768448114395)","(325, 231, -0.03676889091730118)","(296, 183, -0.049245886504650116)","(427, 381, -0.02095717377960682)","(404, 287, -0.03718606010079384)","(375, 232, -0.05076415464282036)","(347, 184, -0.06132253631949425)","(472, 397, -0.03588131442666054)","(478, 323, -0.05197266861796379)","(478, 272, -0.06095993518829346)","(476, 223, -0.06790944188833237)"
"(466, 611, 1.6700981575468177e-07)","(370, 591, -0.013754484243690968)","(299, 531, -0.018422391265630722)","(253, 477, -0.024829378351569176)","(215, 436, -0.031600527465343475)","(365, 404, 0.003312658751383424)","(331, 328, -0.009620605036616325)","(303, 281, -0.024241475388407707)","(277, 239, -0.036833763122558594)","(405, 387, -0.006064995191991329)","(376, 292, -0.01856640912592411)","(346, 235, -0.03339005634188652)","(317, 186, -0.04523852840065956)","(446, 387, -0.019657475873827934)","(422, 294, -0.035679373890161514)","(393, 238, -0.049158308655023575)","(365, 189, -0.059482816606760025)","(491, 402, -0.03541504219174385)","(498, 327, -0.05150323733687401)","(498, 275, -0.06054425239562988)","(495, 228, -0.06751233339309692)"
"(500, 619, 1.799096338572781e-07)","(402, 598, -0.014980279840528965)","(329, 538, -0.020846474915742874)","(282, 484, -0.02821279875934124)","(244, 442, -0.03557807207107544)","(396, 409, 0.0014832885935902596)","(360, 330, -0.012540655210614204)","(331, 282, -0.02760467305779457)","(306, 241, -0.0398806557059288)","(436, 393, -0.007296514697372913)","(405, 297, -0.02030891738831997)","(374, 239, -0.035076022148132324)","(345, 192, -0.0463312491774559)","(479, 394, -0.020298205316066742)","(456, 298, -0.03603529557585716)","(429, 242, -0.048728540539741516)","(402, 195, -0.0580025315284729)","(525, 409, -0.035529445856809616)","(534, 331, -0.05024164170026779)","(534, 278, -0.05807903781533241)","(530, 230, -0.06386185437440872)"
"(553, 629, 1.5806578801402793e-07)","(453, 606, -0.012464181520044804)","(376, 543, -0.01583952270448208)","(331, 486, -0.020945291966199875)","(293, 443, -0.02572581358253956)","(440, 412, 0.00671918410807848)","(404, 334, -0.005365936551243067)","(378, 285, -0.019688060507178307)","(356, 242, -0.031881775707006454)","(484, 394, -0.0033527270425111055)","(451, 297, -0.013705168850719929)","(423, 239, -0.027856189757585526)","(399, 193, -0.039008766412734985)","(531, 395, -0.017573991790413857)","(505, 299, -0.03159371018409729)","(480, 242, -0.043965116143226624)","(456, 195, -0.05349678918719292)","(584, 413, -0.0338766872882843)","(590, 337, -0.04762846603989601)","(589, 284, -0.05475538596510887)","(587, 237, -0.060285087674856186)"
