Landmark 1,Landmark 2,Landmark 3,Landmark 4,Landmark 5,Landmark 6,Landmark 7,Landmark 8,Landmark 9,Landmark 10,Landmark 11,Landmark 12,Landmark 13,Landmark 14,Landmark 15,Landmark 16,Landmark 17,Landmark 18,Landmark 19,Landmark 20,Landmark 21,Time
"(385, 728, 3.1306689152188483e-07)","(450, 738, -0.033271972090005875)","(514, 706, -0.04971664771437645)","(561, 656, -0.062443409115076065)","(595, 614, -0.07438540458679199)","(539, 525, -0.03387049213051796)","(595, 441, -0.054614048451185226)","(621, 383, -0.07138997316360474)","(638, 331, -0.08323418349027634)","(496, 484, -0.030230645090341568)","(548, 383, -0.04827617108821869)","(573, 314, -0.06301449984312057)","(590, 256, -0.07335347682237625)","(445, 472, -0.029943915084004402)","(472, 370, -0.046976082026958466)","(479, 308, -0.0592171773314476)","(486, 258, -0.06715400516986847)","(388, 487, -0.03267420455813408)","(385, 409, -0.04758688062429428)","(384, 360, -0.05515044182538986)","(390, 317, -0.05962890386581421)",10.841807126998901
"(355, 703, 4.938169695378747e-07)","(417, 711, -0.058687347918748856)","(479, 678, -0.0857299193739891)","(523, 628, -0.10443969815969467)","(559, 563, -0.12287769466638565)","(514, 510, -0.05640821158885956)","(570, 426, -0.08072034269571304)","(594, 363, -0.10226321220397949)","(612, 308, -0.11812128126621246)","(475, 474, -0.04071357846260071)","(527, 370, -0.06096117943525314)","(554, 299, -0.08344651013612747)","(577, 237, -0.10156162828207016)","(429, 460, -0.030041418969631195)","(463, 362, -0.048807721585035324)","(477, 297, -0.07024107128381729)","(492, 246, -0.08694428205490112)","(375, 463, -0.024277038872241974)","(383, 389, -0.0411757193505764)","(393, 339, -0.056254126131534576)","(408, 298, -0.06884187459945679)",11.028517961502075
"(362, 709, 5.26640917541954e-07)","(435, 709, -0.06469586491584778)","(499, 669, -0.09284549951553345)","(540, 611, -0.11187737435102463)","(578, 542, -0.13035479187965393)","(520, 510, -0.050435326993465424)","(564, 422, -0.06903020292520523)","(582, 356, -0.08709923177957535)","(590, 303, -0.10060714930295944)","(474, 478, -0.030170613899827003)","(515, 371, -0.043285343796014786)","(536, 300, -0.06173357740044594)","(552, 238, -0.07732033729553223)","(427, 465, -0.01627657562494278)","(453, 368, -0.02947491779923439)","(465, 305, -0.04966375231742859)","(474, 256, -0.06624806672334671)","(376, 466, -0.00821986235678196)","(384, 393, -0.021624797955155373)","(392, 345, -0.03650891035795212)","(402, 307, -0.04965164512395859)",11.227349996566772
"(365, 703, 5.635482125398994e-07)","(440, 697, -0.0638248547911644)","(506, 655, -0.0904860869050026)","(547, 598, -0.10833831131458282)","(581, 526, -0.1257878988981247)","(513, 502, -0.04626986384391785)","(555, 413, -0.06283338367938995)","(574, 346, -0.0806351974606514)","(584, 292, -0.09428709000349045)","(466, 475, -0.02564188838005066)","(504, 368, -0.036353129893541336)","(522, 295, -0.05514364317059517)","(535, 235, -0.0716511681675911)","(418, 464, -0.011450330726802349)","(442, 368, -0.021992061287164688)","(453, 303, -0.042777352035045624)","(460, 254, -0.060506198555231094)","(368, 465, -0.0032151350751519203)","(374, 392, -0.014704662375152111)","(380, 345, -0.02966080605983734)","(389, 309, -0.04336342215538025)",11.428735971450806
"(395, 730, 3.704228390688513e-07)","(483, 722, -0.03906058520078659)","(557, 672, -0.05270872265100479)","(595, 612, -0.060963764786720276)","(626, 556, -0.06880989670753479)","(544, 519, -0.03005913272500038)","(586, 430, -0.04629692807793617)","(606, 371, -0.061649810522794724)","(621, 318, -0.07270793616771698)","(496, 490, -0.020265918225049973)","(532, 384, -0.03304854407906532)","(552, 316, -0.04813378304243088)","(566, 260, -0.05958797037601471)","(443, 482, -0.014622876420617104)","(463, 384, -0.027498820796608925)","(474, 322, -0.04270534962415695)","(483, 271, -0.05370063707232475)","(386, 492, -0.01249766256660223)","(388, 418, -0.025246378034353256)","(395, 370, -0.03546622395515442)","(407, 328, -0.042938150465488434)",11.628632068634033
"(395, 742, 4.0493037545275e-07)","(504, 726, -0.02523483894765377)","(598, 671, -0.034129414707422256)","(654, 612, -0.040590550750494)","(694, 562, -0.04660693556070328)","(543, 511, -0.017492612823843956)","(589, 423, -0.030253572389483452)","(611, 367, -0.04199085384607315)","(627, 318, -0.050434425473213196)","(479, 480, -0.014898542314767838)","(510, 372, -0.025313233956694603)","(527, 304, -0.03679690882563591)","(535, 250, -0.045233625918626785)","(414, 476, -0.015438588336110115)","(423, 372, -0.027080979198217392)","(428, 307, -0.03823808208107948)","(432, 256, -0.045771509408950806)","(348, 492, -0.018276123329997063)","(333, 409, -0.030425379052758217)","(328, 356, -0.03752463310956955)","(330, 308, -0.0415249727666378)",11.829693794250488
"(357, 730, 2.477600560268911e-07)","(346, 622, 0.01405051164329052)","(357, 521, 0.017464570701122284)","(386, 455, 0.016455775126814842)","(417, 409, 0.015945592895150185)","(345, 462, 0.007532673422247171)","(381, 340, -0.0020554212387651205)","(413, 267, -0.007997139357030392)","(440, 212, -0.011519613675773144)","(373, 472, -0.007097369525581598)","(413, 341, -0.017581837251782417)","(448, 262, -0.02480161190032959)","(477, 200, -0.029116405174136162)","(411, 498, -0.021404655650258064)","(455, 386, -0.03088921308517456)","(492, 314, -0.03755060210824013)","(521, 260, -0.041566152125597)","(462, 542, -0.03462180867791176)","(512, 467, -0.04018346220254898)","(544, 418, -0.04208342358469963)","(569, 376, -0.043208274990320206)",12.028463125228882
"(397, 727, 2.596564172563376e-07)","(356, 620, 0.01734449341893196)","(355, 528, 0.020591124892234802)","(378, 460, 0.020788829773664474)","(411, 415, 0.020597482100129128)","(371, 470, -0.010278655216097832)","(397, 340, -0.02545432560145855)","(423, 265, -0.03208024799823761)","(447, 210, -0.03489593788981438)","(413, 484, -0.025256136432290077)","(454, 340, -0.041850488632917404)","(486, 257, -0.04932801052927971)","(514, 193, -0.052949193865060806)","(460, 511, -0.03786308318376541)","(508, 387, -0.05314464867115021)","(542, 311, -0.059546805918216705)","(573, 257, -0.06217292696237564)","(515, 552, -0.04802046716213226)","(572, 466, -0.06024521589279175)","(609, 415, -0.06368327140808105)","(641, 373, -0.0643153041601181)",12.228868007659912
"(415, 717, 3.9460414313907677e-07)","(370, 626, 0.0004165178397670388)","(364, 528, -0.003596574766561389)","(381, 454, -0.008816558867692947)","(408, 406, -0.013976830057799816)","(388, 458, -0.014791511930525303)","(416, 335, -0.029758110642433167)","(442, 263, -0.038767047226428986)","(465, 210, -0.043775949627161026)","(437, 468, -0.023795083165168762)","(478, 333, -0.036449261009693146)","(510, 251, -0.04463908076286316)","(538, 191, -0.049659986048936844)","(489, 495, -0.03270776942372322)","(536, 377, -0.04422886297106743)","(570, 303, -0.05189204216003418)","(599, 248, -0.0567953884601593)","(539, 536, -0.04131169617176056)","(597, 459, -0.05168939754366875)","(636, 408, -0.05567892640829086)","(669, 365, -0.05733335763216019)",12.430985927581787
"(437, 707, 3.0749501434002013e-07)","(388, 613, 0.006615008227527142)","(387, 520, 0.006695478688925505)","(407, 453, 0.005040651187300682)","(436, 409, 0.003092153463512659)","(412, 449, -0.010158027522265911)","(438, 330, -0.023299967870116234)","(462, 261, -0.030332250520586967)","(486, 210, -0.034006159752607346)","(463, 460, -0.02040739543735981)","(503, 330, -0.033434219658374786)","(534, 252, -0.04141796752810478)","(561, 195, -0.04612009599804878)","(514, 489, -0.029804492369294167)","(564, 376, -0.04215050861239433)","(598, 306, -0.04935002699494362)","(626, 256, -0.0535268560051918)","(564, 531, -0.03800409287214279)","(622, 455, -0.04840792343020439)","(660, 408, -0.05185021087527275)","(691, 370, -0.0530736967921257)",12.628023862838745
"(453, 693, 2.3311362440381345e-07)","(395, 598, 0.014260579831898212)","(389, 506, 0.019410276785492897)","(400, 432, 0.02193932607769966)","(420, 381, 0.02358788251876831)","(435, 440, 0.00021791535255033523)","(462, 324, -0.005719059146940708)","(482, 260, -0.006844446994364262)","(501, 214, -0.006705224514007568)","(493, 448, -0.010937891900539398)","(536, 321, -0.015195637010037899)","(562, 249, -0.017239989712834358)","(584, 198, -0.018320497125387192)","(551, 478, -0.020543305203318596)","(602, 363, -0.02626415155827999)","(630, 299, -0.029213864356279373)","(652, 253, -0.031099464744329453)","(605, 526, -0.028293797746300697)","(670, 454, -0.03394503518939018)","(706, 411, -0.03476788103580475)","(734, 374, -0.03425130620598793)",12.831889867782593
"(493, 736, 2.2502929653001047e-07)","(407, 666, -0.010566690936684608)","(371, 579, -0.0166058000177145)","(370, 502, -0.022040115669369698)","(367, 439, -0.027190998196601868)","(457, 469, -0.016489127650856972)","(448, 354, -0.029818853363394737)","(446, 285, -0.039149243384599686)","(448, 232, -0.045378148555755615)","(536, 471, -0.02143908478319645)","(553, 345, -0.03177020698785782)","(568, 269, -0.041922684758901596)","(581, 213, -0.04916471615433693)","(603, 502, -0.027585510164499283)","(653, 400, -0.041978515684604645)","(688, 338, -0.0538606196641922)","(714, 291, -0.06146768108010292)","(657, 556, -0.0340009368956089)","(730, 503, -0.048171211034059525)","(771, 463, -0.05478706583380699)","(803, 429, -0.058064933866262436)",13.029253721237183
"(507, 750, 2.514246659757191e-07)","(413, 676, -0.0022057187743484974)","(376, 588, -0.0027973537798970938)","(373, 501, -0.002688160864636302)","(369, 427, -0.0023321679327636957)","(464, 481, -0.013609690591692924)","(461, 356, -0.023080933839082718)","(460, 283, -0.027542371302843094)","(465, 227, -0.02990756928920746)","(548, 483, -0.017710767686367035)","(569, 349, -0.02724524401128292)","(583, 269, -0.035267360508441925)","(597, 211, -0.04042396321892738)","(619, 512, -0.02130577713251114)","(670, 406, -0.034178685396909714)","(704, 340, -0.04477795585989952)","(730, 294, -0.05068424344062805)","(675, 561, -0.02383491024374962)","(749, 503, -0.03498498350381851)","(790, 466, -0.040308818221092224)","(821, 434, -0.04219906032085419)",13.230788946151733
"(500, 751, 3.192026269971393e-07)","(410, 678, -0.00842736940830946)","(373, 592, -0.013947191648185253)","(367, 504, -0.018028873950242996)","(363, 428, -0.02189183235168457)","(458, 480, -0.021679893136024475)","(460, 353, -0.034832727164030075)","(462, 280, -0.041391149163246155)","(470, 223, -0.04480934888124466)","(543, 482, -0.024512963369488716)","(568, 350, -0.0354325994849205)","(585, 269, -0.04347660392522812)","(603, 213, -0.048655666410923004)","(616, 513, -0.02755315788090229)","(667, 408, -0.04109242558479309)","(702, 342, -0.05169988051056862)","(730, 294, -0.05794209986925125)","(673, 562, -0.03022121451795101)","(747, 505, -0.04247637838125229)","(790, 468, -0.04822114482522011)","(824, 436, -0.050443582236766815)",13.429872751235962
"(493, 745, 3.0065845635363075e-07)","(405, 671, -0.004524695221334696)","(373, 587, -0.007886236533522606)","(372, 502, -0.010264390148222446)","(371, 428, -0.012609229423105717)","(454, 475, -0.017824526876211166)","(458, 350, -0.028557905927300453)","(463, 279, -0.03311474248766899)","(473, 226, -0.03503653407096863)","(537, 478, -0.02163691632449627)","(565, 344, -0.029736138880252838)","(583, 265, -0.03578965365886688)","(600, 211, -0.03968723863363266)","(610, 508, -0.025269512087106705)","(664, 400, -0.03614386171102524)","(699, 333, -0.04519514739513397)","(726, 285, -0.05072274059057236)","(666, 559, -0.028237001970410347)","(740, 501, -0.03793666139245033)","(784, 464, -0.042129337787628174)","(818, 431, -0.04352565109729767)",13.631139993667603
"(481, 741, 2.906161284954578e-07)","(424, 642, 0.0002967743785120547)","(405, 548, -0.0007373283733613789)","(418, 479, -0.0035798782482743263)","(442, 434, -0.005893970839679241)","(437, 464, -0.0006683935644105077)","(456, 355, -0.009836174547672272)","(479, 295, -0.016178693622350693)","(503, 252, -0.020319931209087372)","(501, 468, -0.00852915644645691)","(537, 350, -0.01542790699750185)","(569, 285, -0.021624073386192322)","(600, 241, -0.02596905454993248)","(562, 495, -0.01745137944817543)","(617, 395, -0.026599902659654617)","(657, 339, -0.03452559560537338)","(690, 299, -0.040006767958402634)","(618, 540, -0.026265468448400497)","(687, 485, -0.035271912813186646)","(731, 447, -0.03939899429678917)","(767, 415, -0.04145730659365654)",13.827495813369751
"(477, 801, 5.181404958420899e-07)","(605, 757, -0.02043619006872177)","(691, 684, -0.01998213492333889)","(741, 611, -0.018516892567276955)","(765, 543, -0.01603073626756668)","(606, 555, 0.025288589298725128)","(653, 465, 0.031214524060487747)","(679, 409, 0.028507446870207787)","(697, 366, 0.025644928216934204)","(543, 534, 0.030143877491354942)","(577, 426, 0.040016744285821915)","(602, 359, 0.036093153059482574)","(623, 310, 0.03169235959649086)","(479, 527, 0.028989290818572044)","(493, 419, 0.03287174180150032)","(514, 358, 0.0252547524869442)","(536, 309, 0.01847630739212036)","(410, 532, 0.02469242922961712)","(401, 443, 0.024392010644078255)","(406, 389, 0.020584285259246826)","(420, 340, 0.01693759672343731)",14.031603813171387
"(430, 803, 5.071287318969553e-07)","(557, 766, -0.023038888350129128)","(654, 692, -0.024708691984415054)","(706, 615, -0.02381621114909649)","(738, 550, -0.021561766043305397)","(586, 560, 0.006992556154727936)","(633, 463, 0.005787943955510855)","(656, 404, -0.0006075847777538002)","(670, 355, -0.005839557386934757)","(521, 535, 0.01233589742332697)","(556, 427, 0.013680297881364822)","(575, 357, 0.005155330058187246)","(585, 304, -0.0020966811571270227)","(452, 530, 0.013125714845955372)","(465, 425, 0.010369802825152874)","(476, 363, -0.0002846433490049094)","(484, 315, -0.008254586718976498)","(381, 541, 0.011312933638691902)","(371, 455, 0.005309115629643202)","(369, 403, -0.0009019377175718546)","(374, 355, -0.004983602557331324)",14.229995012283325
"(404, 802, 5.456019493976783e-07)","(532, 768, -0.029046008363366127)","(626, 698, -0.033174268901348114)","(674, 622, -0.03417527303099632)","(706, 553, -0.03409117832779884)","(564, 556, 0.00415730569511652)","(607, 455, 0.0016183521365746856)","(630, 394, -0.007282495964318514)","(645, 341, -0.014702949672937393)","(498, 535, 0.011177180334925652)","(532, 422, 0.012409159913659096)","(551, 350, 0.0008640623418614268)","(561, 295, -0.00952180940657854)","(429, 533, 0.012962333858013153)","(442, 428, 0.010142015293240547)","(451, 363, -0.0041045136749744415)","(459, 311, -0.015566002577543259)","(358, 547, 0.011507625691592693)","(349, 463, 0.005186726804822683)","(347, 411, -0.0031770120840519667)","(354, 363, -0.009795768186450005)",14.431353092193604
"(390, 808, 6.131505188022857e-07)","(524, 770, -0.03191806748509407)","(613, 699, -0.03635892644524574)","(659, 625, -0.037722956389188766)","(693, 554, -0.038043636828660965)","(550, 563, 0.009379521943628788)","(592, 458, 0.009090577252209187)","(615, 395, 0.00026475664344616234)","(629, 344, -0.00735297380015254)","(480, 544, 0.0175994411110878)","(511, 427, 0.021933043375611305)","(531, 350, 0.009819895960390568)","(543, 295, -0.0017668417422100902)","(409, 544, 0.019559208303689957)","(420, 435, 0.018776025623083115)","(430, 367, 0.0025493884459137917)","(440, 313, -0.011065012775361538)","(337, 556, 0.017772337421774864)","(330, 468, 0.012561575509607792)","(328, 414, 0.0027160928584635258)","(335, 363, -0.005866785068064928)",14.628893852233887
"(398, 801, 5.764600246038754e-07)","(526, 763, -0.029540378600358963)","(617, 697, -0.0345100574195385)","(665, 621, -0.03664536029100418)","(697, 549, -0.03788585960865021)","(552, 556, 0.00726856105029583)","(596, 456, 0.006399350706487894)","(617, 394, -0.0019639611709862947)","(629, 343, -0.009248638525605202)","(485, 537, 0.014379438012838364)","(515, 423, 0.017021946609020233)","(531, 348, 0.005590988788753748)","(539, 293, -0.0049548461101949215)","(415, 537, 0.01601625233888626)","(427, 429, 0.014434818178415298)","(438, 363, 0.0006146076484583318)","(447, 311, -0.011053448542952538)","(344, 550, 0.014228076674044132)","(337, 466, 0.008364533074200153)","(335, 414, 9.254660835722461e-05)","(343, 367, -0.006769326515495777)",14.831796884536743
"(397, 814, 4.4715221747537726e-07)","(521, 773, -0.028231216594576836)","(613, 702, -0.03559507057070732)","(659, 621, -0.03979792818427086)","(687, 546, -0.04328005015850067)","(548, 573, -0.008151334710419178)","(587, 470, -0.018037011846899986)","(606, 409, -0.03000025451183319)","(619, 358, -0.03871401771903038)","(481, 551, -0.002676961477845907)","(510, 437, -0.010031086392700672)","(524, 361, -0.023705091327428818)","(531, 306, -0.03475504368543625)","(412, 550, -0.0016173335025087)","(424, 439, -0.0113567765802145)","(433, 372, -0.025306954979896545)","(438, 322, -0.035574257373809814)","(343, 563, -0.0032081948593258858)","(337, 475, -0.014489955268800259)","(335, 419, -0.02343323454260826)","(340, 370, -0.029685234650969505)",15.03136682510376
"(402, 843, 2.5158865923913254e-07)","(520, 790, -0.02024579420685768)","(606, 709, -0.022069159895181656)","(643, 619, -0.024613771587610245)","(652, 542, -0.026756569743156433)","(533, 583, 0.01965157501399517)","(548, 491, 0.012644903734326363)","(556, 446, -0.0012206343235448003)","(562, 419, -0.010909468866884708)","(468, 568, 0.021583061665296555)","(480, 453, 0.008574394509196281)","(488, 432, -0.013158438727259636)","(491, 457, -0.025648973882198334)","(403, 567, 0.019236523658037186)","(411, 455, 0.006010274402797222)","(424, 439, -0.009951318614184856)","(432, 472, -0.017567859962582588)","(334, 582, 0.01456515584141016)","(333, 484, 0.003226399887353182)","(349, 452, -0.005421401001513004)","(370, 458, -0.009380475617945194)",15.229919910430908
"(379, 887, -3.123615499589505e-07)","(491, 827, -0.01454079244285822)","(574, 725, -0.017025941982865334)","(603, 628, -0.021417003124952316)","(594, 548, -0.02374318614602089)","(497, 616, 0.004745172336697578)","(523, 544, -0.019277168437838554)","(535, 610, -0.03430774435400963)","(529, 673, -0.03898104652762413)","(432, 611, 0.002765706740319729)","(458, 543, -0.024022933095693588)","(472, 635, -0.034640226513147354)","(466, 700, -0.034572239965200424)","(363, 617, -0.00365721364505589)","(385, 553, -0.03184957429766655)","(404, 646, -0.028796080499887466)","(400, 708, -0.017899729311466217)","(284, 631, -0.011164060793817043)","(312, 567, -0.028913382440805435)","(339, 631, -0.02125532180070877)","(340, 683, -0.009654143825173378)",15.432634115219116
